CO_IES	NO_IES	SGL_IES	CO_MANTENEDORA	NO_MANTENEDORA	CO_CATEGORIA_ADMINISTRATIVA	CO_ORGANIZACAO_ACADEMICA	CO_MUNICIPIO_IES	NO_MUNICIPIO_IES	SGL_UF_IES	NO_REGIAO_IES	QT_TEC_TOTAL	QT_PERIODICO_ELETRONICO	QT_LIVRO_ELETRONICO	VL_RECEITA_PROPRIA	VL_TRANSFERENCIA	VL_OUTRA_RECEITA	VL_DES_PESSOAL_REM_DOCENTE	VL_DES_PESSOAL_REM_TECNICO	VL_DES_PESSOAL_ENCARGO	VL_DES_CUSTEIO	VL_DES_INVESTIMENTO	VL_DES_PESQUISA	VL_DES_OUTRAS
15433	FACULDADE SEDAC	SEDAC	14981	ASSOCIACAO DOM AQUINO CORREA - ADAC	5	3	5108402	Várzea Grande	MT	Centro-Oeste	10	19	0	1490341.27	0.00	441241.73	387044.39	165876.17	254511.08	179796.85	80210.95	0.00	583745.67
5013	CENTRO UNIVERSITÁRIO ESTADUAL DA ZONA OESTE	UEZO	14983	FUNDACAO CENTRO UNIVERSITARIO ESTADUAL DA ZONA OESTE	2	2	3304557	Rio de Janeiro	RJ	Sudeste	100	0	0	3600.00	0.00	0.00	7313124.84	1658206.97	3202994.46	0.00	0.00	0.00	0.00
15504	FACULDADE IRECÊ	FAI	15012	FACULDADE IRECE	4	3	2914604	Irecê	BA	Nordeste	24	0	0	2927433.83	0.00	0.00	900287.18	323503.19	790752.24	936598.77	475351.63	1326.90	0.00
15507	Instituto Federal de Educação, Ciência e Tecnologia do Acre	IFAC	15014	INSTITUTO FEDERAL DE EDUCACAO,CIENCIA E TECNOLOGIA DO ACRE	1	4	1200401	Rio Branco	AC	Norte	316	0	0	809300.00	71045375.07	211967.20	29179158.60	14880657.17	10178124.35	22238963.56	7642132.65	40000.00	5326873.53
3252	FACULDADE QUIRINÓPOLIS	FAQUI	15016	CENTRO DE ENSINO SUPERIOR DO SUDOESTE GOIANO LTDA - EPP	4	3	5218508	Quirinópolis	GO	Centro-Oeste	31	312	0	6319848.82	0.00	394858.74	3182300.70	459183.60	931264.35	1022206.70	0.00	0.00	288314.71
15520	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL	IFMS	15019	INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE MATO GROSSO DO SUL	1	4	5002704	Campo Grande	MS	Centro-Oeste	439	164	0	1550005.31	129818895.76	1254965.81	42351709.35	20748323.26	21673096.65	33448303.71	13184540.97	104137.20	4441368.22
15521	FACULDADE CATÓLICA DE SÃO JOSÉ DOS CAMPOS	CATÓLICA-SJC	15021	ASSOCIACAO CULTURAL E EDUCACIONAL DA DIOCESE DE SAO JOSE DOS CAMPOS	5	3	3549904	São José dos Campos	SP	Sudeste	12	0	0	394990.20	584500.00	69472.37	485541.42	228490.08	285163.84	23110.93	0.00	0.00	23848.39
15522	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ	IFAP	15022	INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAPA	1	4	1600303	Macapá	AP	Norte	521	0	0	1204223.11	0.00	0.00	16741990.63	11278077.37	10872796.24	12660559.31	10308913.00	366862.00	0.00
15526	FACULDADE DE GESTAO E NEGOCIOS DE FORTALEZA	FGNF	15026	FACULDADE DE GESTAO E NEGOCIOS DE FORTALEZA LTDA	4	3	2304400	Fortaleza	CE	Nordeste	4	60	0	18810.24	0.00	0.00	4737.38	82860.46	33082.26	16747.57	2040480.63	0.00	308416.72
2462	FACULDADE SÃO LUÍS	FSL	15028	ASSOCIACAO DEHONIANA BRASIL MERIDIONAL	5	3	4202909	Brusque	SC	Sul	13	0	0	1291009.46	0.00	56752.19	580442.66	193480.89	262705.01	223284.05	0.00	0.00	18505.55
